algoritmo,dataset,clasificador,tamano_poblacion,generaciones,tasa_mutacion,tasa_exito,num_pares_medios,dist_l2_media,features_cambiadas_media,tiempo_ejecucion_medio,generaciones_convergencia_media,historial_fitness,muestras,ancho_banda,max_iters,score_seleccion
gs,iris,mlp,,,,1.0,30.0,0.6754408649305575,2.9,0.4060685634613037,1.0,[0.6754 ... 0.6754],300.0,0.5,60.0,0.7221242229954327
ga,diabetes,arbol_decision,200.0,40.0,0.3,1.0,30.0,43.96671223444016,7.983333333333333,0.627373218536377,19.5,[201.6326 ... 25.8646],,,,0.7212724249298115
gs,iris,arbol_decision,,,,1.0,30.0,0.8246277183964954,1.4333333333333331,0.40646517276763916,1.0,[0.8246 ... 0.8246],100.0,0.5,40.0,0.7208281094242914
gs,iris,mlp,,,,1.0,30.0,0.6537410599061247,3.2,0.4000999927520752,1.0,[0.6537 ... 0.6537],500.0,0.5,20.0,0.7206358597520985
gs,iris,arbol_decision,,,,1.0,30.0,0.8246277183964954,1.4333333333333331,0.41114258766174316,1.0,[0.8246 ... 0.8246],100.0,0.5,20.0,0.7204405168388209
gs,iris,mlp,,,,1.0,30.0,0.7099168398199471,2.783333333333333,0.3630572557449341,1.0,[0.7099 ... 0.7099],100.0,0.5,40.0,0.7198396868077704
gs,iris,mlp,,,,1.0,30.0,0.6353193867938028,3.216666666666667,0.4633777141571045,1.0,[0.6353 ... 0.6353],500.0,0.2,20.0,0.7196593100347628
gs,iris,mlp,,,,1.0,30.0,0.7099168398199471,2.783333333333333,0.36877918243408203,1.0,[0.7099 ... 0.7099],100.0,0.5,20.0,0.7193655410649767
gs,iris,arbol_decision,,,,1.0,30.0,0.8246277183964954,1.4333333333333331,0.4264674186706543,1.0,[0.8246 ... 0.8246],100.0,0.5,60.0,0.7191706293032658
gs,iris,mlp,,,,1.0,30.0,0.6353193867938028,3.216666666666667,0.4698624610900879,1.0,[0.6353 ... 0.6353],500.0,0.2,40.0,0.7191219534207397
gs,iris,mlp,,,,1.0,30.0,0.6353193867938028,3.216666666666667,0.4715747833251953,1.0,[0.6353 ... 0.6353],500.0,0.2,60.0,0.7189800623511446
gs,iris,mlp,,,,1.0,30.0,0.6683322715081319,3.0666666666666664,0.41796672344207764,1.0,[0.6683 ... 0.6683],500.0,0.8,40.0,0.7187789386117964
gs,iris,mlp,,,,1.0,30.0,0.6537410599061247,3.2,0.4228696823120117,1.0,[0.6537 ... 0.6537],500.0,0.5,60.0,0.7187490562406075
gs,iris,mlp,,,,1.0,30.0,0.6784396604283547,2.85,0.45300912857055664,1.0,[0.6784 ... 0.6784],100.0,0.2,20.0,0.7187220802877878
ga,diabetes,mlp,200.0,80.0,0.15,1.0,30.0,41.98035948280035,8.0,1.3316543102264404,26.0,[159.6815 ... 8.5077],,,,0.7187215147229539
gs,iris,mlp,,,,1.0,30.0,0.6683322715081319,3.0666666666666664,0.42299723625183105,1.0,[0.6683 ... 0.6683],500.0,0.8,20.0,0.7183620866732111
gs,iris,mlp,,,,1.0,30.0,0.6855610746750219,3.0166666666666666,0.386289119720459,1.0,[0.6856 ... 0.6856],300.0,0.8,40.0,0.7182735678168671
ga,diabetes,mlp,200.0,40.0,0.3,1.0,30.0,43.79792788968976,7.983333333333333,0.8983076810836792,13.5,[159.6815 ... 29.3395],,,,0.7180691557702017
gs,iris,mlp,,,,1.0,30.0,0.6475873985924019,3.1500000000000004,0.46794188022613525,1.0,[0.6476 ... 0.6476],300.0,0.2,20.0,0.7178286956997165
gs,iris,mlp,,,,1.0,30.0,0.6475873985924019,3.1500000000000004,0.47029078006744385,1.0,[0.6476 ... 0.6476],300.0,0.2,40.0,0.7176340548172813
gs,iris,mlp,,,,1.0,30.0,0.6475873985924019,3.1500000000000004,0.47040247917175293,1.0,[0.6476 ... 0.6476],300.0,0.2,60.0,0.717624798904429
gs,iris,mlp,,,,1.0,30.0,0.6683322715081319,3.0666666666666664,0.43318378925323486,1.0,[0.6683 ... 0.6683],500.0,0.8,60.0,0.7175179810071042
gs,iris,mlp,,,,1.0,30.0,0.6855610746750219,3.0166666666666666,0.40018022060394287,1.0,[0.6856 ... 0.6856],300.0,0.8,60.0,0.7171224858991078
gs,iris,mlp,,,,1.0,30.0,0.6855610746750219,3.0166666666666666,0.4123302698135376,1.0,[0.6856 ... 0.6856],300.0,0.8,20.0,0.7161156757072908
gs,iris,mlp,,,,1.0,30.0,0.7099168398199471,2.783333333333333,0.4136444330215454,1.0,[0.7099 ... 0.7099],100.0,0.5,60.0,0.7156477955010977
gs,iris,mlp,,,,1.0,30.0,0.6537410599061247,3.2,0.46333181858062744,1.0,[0.6537 ... 0.6537],500.0,0.5,40.0,0.7153961734271155
gs,iris,svm,,,,1.0,30.0,0.7429116956026796,2.6166666666666667,0.3716965913772583,1.0,[0.7429 ... 0.7429],100.0,0.5,40.0,0.7149017016874923
gs,iris,svm,,,,1.0,30.0,0.7189104404540909,2.55,0.4792814254760742,1.0,[0.7189 ... 0.7189],100.0,0.2,40.0,0.713755566904842
gs,iris,svm,,,,1.0,30.0,0.7189104404540909,2.55,0.4806227684020996,1.0,[0.7189 ... 0.7189],100.0,0.2,60.0,0.7136444169246775
gs,iris,mlp,,,,1.0,30.0,0.7223036240230805,2.833333333333333,0.3861774206161499,1.0,[0.7223 ... 0.7223],100.0,0.8,60.0,0.7135245713048723
gs,iris,mlp,,,,1.0,30.0,0.7223036240230805,2.833333333333333,0.38713812828063965,1.0,[0.7223 ... 0.7223],100.0,0.8,20.0,0.7134449625517488
gs,iris,arbol_decision,,,,1.0,30.0,0.8511165910124598,1.4,0.4272195100784302,1.0,[0.8511 ... 0.8511],100.0,0.8,40.0,0.7132069944755859
gs,iris,mlp,,,,1.0,30.0,0.7223036240230805,2.833333333333333,0.40221869945526123,1.0,[0.7223 ... 0.7223],100.0,0.8,40.0,0.7121953155342667
gs,iris,arbol_decision,,,,1.0,30.0,0.8511165910124598,1.4,0.44124507904052734,1.0,[0.8511 ... 0.8511],100.0,0.8,20.0,0.7120447699007324
gs,iris,arbol_decision,,,,1.0,30.0,0.8511165910124598,1.4,0.446569561958313,1.0,[0.8511 ... 0.8511],100.0,0.8,60.0,0.7116035582171163
ga,diabetes,svm,200.0,80.0,0.15,1.0,30.0,38.60718608571595,7.95,2.804226875305176,22.5,[195.1017 ... 7.5786],,,,0.7114321457708246
gs,iris,svm,,,,1.0,30.0,0.7189104404540909,2.55,0.509048581123352,1.0,[0.7189 ... 0.7189],100.0,0.2,20.0,0.7112889204600344
gs,iris,svm,,,,1.0,30.0,0.7721471313463828,2.583333333333333,0.3563354015350342,1.0,[0.7721 ... 0.7721],100.0,0.8,40.0,0.7095749909179108
gs,iris,svm,,,,1.0,30.0,0.7101645804934964,2.7666666666666666,0.4963580369949341,1.0,[0.7102 ... 0.7102],300.0,0.8,60.0,0.7091474374590446
gs,iris,svm,,,,1.0,30.0,0.7721471313463828,2.583333333333333,0.37438416481018066,1.0,[0.7721 ... 0.7721],100.0,0.8,20.0,0.7080793855502584
